"Character","Dec","Hex","Name","Range"
"‘ ’",32,"U+0020","Space","Basic Latin"
"·",183,"U+00B7","Middle dot","Latin-1 Supplement"
"ॐ",2384,"U+0950","Devanagari Om","Devanagari"
"•",8226,"U+2022","Bullet","General Punctuation"
"⇦",8678,"U+21E6","Leftwards white arrow","Arrows"
"⇧",8679,"U+21E7","Upwards white arrow","Arrows"
"⇨",8680,"U+21E8","Rightwards white arrow","Arrows"
"⇩",8681,"U+21E9","Downwards white arrow","Arrows"
"⇳",8691,"U+21F3","Up down white arrow","Arrows"
"⌑",8977,"U+2311","Square lozenge","Miscellaneous Technical"
"⌖",8982,"U+2316","Position indicator","Miscellaneous Technical"
"⌘",8984,"U+2318","Place of interest sign","Miscellaneous Symbols"
"⌛",8987,"U+231B","Hourglass","Miscellaneous Technical"
"⌦",8998,"U+2326","Erase to the right","Miscellaneous Technical"
"⌧",8999,"U+2327","X in a rectangle box","Miscellaneous Technical"
"⌫",9003,"U+232B","Erase to the left","Miscellaneous Technical"
"①",9312,"U+2460","Circled digit one","Enclosed Alphanumerics"
"②",9313,"U+2461","Circled digit two","Enclosed Alphanumerics"
"③",9314,"U+2462","Circled digit three","Enclosed Alphanumerics"
"④",9315,"U+2463","Circled digit four","Enclosed Alphanumerics"
"⑤",9316,"U+2464","Circled digit five","Enclosed Alphanumerics"
"⑥",9317,"U+2465","Circled digit six","Enclosed Alphanumerics"
"⑦",9318,"U+2466","Circled digit seven","Enclosed Alphanumerics"
"⑧",9319,"U+2467","Circled digit eight","Enclosed Alphanumerics"
"⑨",9320,"U+2468","Circled digit nine","Enclosed Alphanumerics"
"⑩",9321,"U+2469","Circled number ten","Enclosed Alphanumerics"
"⓪",9450,"U+24EA","Circled digit zero","Enclosed Alphanumerics"
"⓿",9471,"U+24FF","Negative circled digit zero","Enclosed Alphanumerics"
"■",9632,"U+25A0","Black square","Geometric Shapes"
"□",9633,"U+25A1","White square","Geometric Shapes"
"▪",9642,"U+25AA","Black small square","Geometric Shapes"
"▪",9642,"U+25AA","Black small square","Geometric Shapes"
"◆",9670,"U+25C6","Black diamond","Geometric Shapes"
"◉",9673,"U+25C9","Fisheye","Geometric Shapes"
"◎",9678,"U+25CE","Bullseye","Geometric Shapes"
"●",9679,"U+25CF","Black circle","Geometric Shapes"
"◻",9723,"U+25FB","White medium square","Geometric Shapes"
"★",9733,"U+2605","Black star","Miscellaneous Symbols"
"☜",9756,"U+261C","White left pointing index","Miscellaneous Symbols"
"☝",9757,"U+261D","White up pointing index","Miscellaneous Symbols"
"☞",9758,"U+261E","White right pointing index","Miscellaneous Symbols"
"☟",9759,"U+261F","White down pointing index","Miscellaneous Symbols"
"☠",9760,"U+2620","Skull and crossbones","Miscellaneous Symbols"
